Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Nov 27 2015,8:00 pm,Detroit Pistons,87,Oklahoma City Thunder,103,Box Score,,
Fri Nov 27 2015,7:00 pm,Milwaukee Bucks,90,Orlando Magic,114,Box Score,,
Fri Nov 27 2015,9:30 pm,Golden State Warriors,135,Phoenix Suns,116,Box Score,,
Fri Nov 27 2015,10:00 pm,Minnesota Timberwolves,101,Sacramento Kings,91,Box Score,,
Sat Nov 28 2015,7:30 pm,Brooklyn Nets,88,Cleveland Cavaliers,90,Box Score,,
Sat Nov 28 2015,8:30 pm,Denver Nuggets,81,Dallas Mavericks,92,Box Score,,
Sat Nov 28 2015,10:30 pm,Sacramento Kings,101,Golden State Warriors,120,Box Score,,
Sat Nov 28 2015,10:00 pm,Los Angeles Lakers,96,Portland Trail Blazers,108,Box Score,,
Sat Nov 28 2015,8:30 pm,Atlanta Hawks,88,San Antonio Spurs,108,Box Score,,
Sat Nov 28 2015,9:00 pm,New Orleans Pelicans,87,Utah Jazz,101,Box Score,,
Sat Nov 28 2015,7:00 pm,Toronto Raptors,84,Washington Wizards,82,Box Score,,
Sun Nov 29 2015,6:00 pm,Detroit Pistons,83,Brooklyn Nets,87,Box Score,,
Sun Nov 29 2015,2:00 pm,Milwaukee Bucks,82,Charlotte Hornets,87,Box Score,,
Sun Nov 29 2015,3:30 pm,Minnesota Timberwolves,99,Los Angeles Clippers,107,Box Score,,
Sun Nov 29 2015,9:30 pm,Indiana Pacers,107,Los Angeles Lakers,103,Box Score,,
Sun Nov 29 2015,6:00 pm,Philadelphia 76ers,84,Memphis Grizzlies,92,Box Score,,
Sun Nov 29 2015,7:30 pm,Houston Rockets,116,New York Knicks,111,Box Score,OT,
Sun Nov 29 2015,6:00 pm,Boston Celtics,91,Orlando Magic,110,Box Score,,
Sun Nov 29 2015,6:00 pm,Phoenix Suns,107,Toronto Raptors,102,Box Score,,
Mon Nov 30 2015,8:00 pm,Oklahoma City Thunder,100,Atlanta Hawks,106,Box Score,,
Mon Nov 30 2015,8:00 pm,San Antonio Spurs,89,Chicago Bulls,92,Box Score,,
Mon Nov 30 2015,7:30 pm,Houston Rockets,105,Detroit Pistons,116,Box Score,,
Mon Nov 30 2015,10:30 pm,Portland Trail Blazers,87,Los Angeles Clippers,102,Box Score,,
Mon Nov 30 2015,7:30 pm,Boston Celtics,105,Miami Heat,95,Box Score,,
Mon Nov 30 2015,8:00 pm,Denver Nuggets,74,Milwaukee Bucks,92,Box Score,,
Mon Nov 30 2015,10:00 pm,Dallas Mavericks,98,Sacramento Kings,112,Box Score,,
Mon Nov 30 2015,9:00 pm,Golden State Warriors,106,Utah Jazz,103,Box Score,,
Tue Dec 1 2015,7:30 pm,Phoenix Suns,91,Brooklyn Nets,94,Box Score,,
Tue Dec 1 2015,7:00 pm,Washington Wizards,97,Cleveland Cavaliers,85,Box Score,,
Tue Dec 1 2015,8:00 pm,Orlando Magic,96,Minnesota Timberwolves,93,Box Score,,
Tue Dec 1 2015,8:00 pm,Memphis Grizzlies,113,New Orleans Pelicans,104,Box Score,,
Tue Dec 1 2015,7:00 pm,Los Angeles Lakers,91,Philadelphia 76ers,103,Box Score,,
Tue Dec 1 2015,10:00 pm,Dallas Mavericks,115,Portland Trail Blazers,112,Box Score,OT,
